Number,Description,Rating,Criticality,MaxRating,vendor_GUID,createdAt,createdBy,modifiedAt,modifiedBy,Price,PriceUoM
1,Steel Beam H-Section,3,2,5,8F2D5C3A1B6E4A8F9C4D3E2B1A5F7D6E,2026-01-15T08:30:00Z,system_admin,2026-06-12T14:22:10Z,user_procure,120.50,USD
2,Copper Wiring 10mm,4,3,5,3C1B6D4E7F9A4B2C8D5E1F3A2B4D6E8F,2025-11-22T10:15:00Z,procure_bot,2026-07-01T09:05:45Z,user_logistics,4.75,USD
3,Hydraulic Fluid Grade A,5,3,5,A5E7F1C2B4D34E6A8B9C0D1E2F3A4B5C,2026-03-05T07:45:30Z,system_admin,2026-05-20T16:30:22Z,user_procure,8.25,USD
4,Aluminum Sheet 2mm,1,1,5,7D6C5B4A3F2E41D2A3B4C5D6E7F8A9B0,2026-04-18T13:20:00Z,user_logistics,2026-04-20T10:15:11Z,user_qc,45.00,USD
5,Portland Cement Type I,2,2,5,B4C5D6E7F8A940B0C1D2E3F4A5B6C7D8,2026-05-02T06:00:00Z,procure_bot,2026-06-30T11:40:50Z,user_logistics,0.15,USD
6,Stainless Steel Bolts M12,3,2,5,1E2F3A4B5C6D47E8F9A0B1C2D3E4F5A6,2025-09-14T15:35:00Z,system_admin,2026-07-05T08:12:03Z,user_procure,25.40,USD
7,Reinforced Rebar 12mm,4,3,5,8F2D5C3A1B6E4A8F9C4D3E2B1A5F7D6E,2026-02-10T11:20:00Z,user_procure,2026-06-15T09:45:00Z,user_procure,3.10,USD
8,Industrial Copper Pipe,5,3,5,3C1B6D4E7F9A4B2C8D5E1F3A2B4D6E8F,2026-01-20T14:15:00Z,procure_bot,2026-05-18T10:30:00Z,user_logistics,22.80,USD
9,High-Pressure Hose,1,1,5,A5E7F1C2B4D34E6A8B9C0D1E2F3A4B5C,2026-04-05T08:00:00Z,system_admin,2026-04-05T08:00:00Z,system_admin,15.50,USD
10,Aluminum Angle Bar,3,2,5,7D6C5B4A3F2E41D2A3B4C5D6E7F8A9B0,2026-05-12T16:40:00Z,user_logistics,2026-07-10T11:15:00Z,user_qc,12.40,USD